account_id,competitive_rank,leaderboard_rank,mmr_estimate,rank_tier,solo_competitive_rank,tracked_until
96133582,5099,1504,{'estimate': 5487},80,7134,None
340123379,None,867,{'estimate': 5437},80,None,None
96865340,None,1462,{'estimate': 5435},80,None,None
147858311,6120,498,{'estimate': 5511},80,6507,None
190650205,4309,655,{'estimate': 4994},80,3785,None
178902409,None,1253,{'estimate': 5177},80,None,None
397656599,None,1366,{'estimate': 3994},80,None,None
897643094,None,557,{'estimate': 4414},80,None,None
176337846,None,None,{'estimate': 4231},None,None,None
861969551,None,4835,{'estimate': 4205},74,None,None
96133582,5099,1504,{'estimate': 5487},80,7134,None
96865340,None,1462,{'estimate': 5435},80,None,None
340123379,None,867,{'estimate': 5437},80,None,None
147858311,6120,498,{'estimate': 5511},80,6507,None
190650205,4309,655,{'estimate': 4994},80,3785,None
178902409,None,1253,{'estimate': 5177},80,None,None
397656599,None,1366,{'estimate': 3994},80,None,None
897643094,None,557,{'estimate': 4414},80,None,None
176337846,None,None,{'estimate': 4231},None,None,None
861969551,None,4835,{'estimate': 4205},74,None,None
93817671,None,11,{'estimate': 6571},80,7412,1655203411
114596500,5368,320,{'estimate': 6380},80,7241,None
168126336,3209,178,{'estimate': 6695},80,5459,None
192981126,5059,121,{'estimate': 6487},80,7397,None
96183976,5298,21,{'estimate': 6850},80,9008,None
86953414,5972,514,{'estimate': 6333},80,7219,None
158606677,None,159,{'estimate': 6929},80,7292,None
112426916,5763,949,{'estimate': 6587},80,7804,None
103910993,5415,109,{'estimate': 6730},80,6592,None
113619848,None,196,{'estimate': 6929},80,None,None
96133582,5099,1504,{'estimate': 5487},80,7134,None
96865340,None,1462,{'estimate': 5435},80,None,None
340123379,None,867,{'estimate': 5437},80,None,None
147858311,6120,498,{'estimate': 5511},80,6507,None
190650205,4309,655,{'estimate': 4994},80,3785,None
1283219165,None,None,{'estimate': 3665},75,None,None
200056681,None,None,{'estimate': 3958},73,3766,None
1276155672,None,2796,{'estimate': 3926},80,None,None
155216380,None,None,{'estimate': 4266},71,None,None
1287252004,None,4955,{'estimate': 3492},80,None,None
155447692,4050,136,{'estimate': 5404},80,3972,None
248388120,5172,63,{'estimate': 5595},80,5257,None
162126721,None,61,{'estimate': 5513},80,4831,None
190738832,5332,76,{'estimate': 5651},80,6253,None
385295772,None,181,{'estimate': 5649},80,6305,None
285770518,None,57,{'estimate': 6291},80,None,None
259479555,None,1952,{'estimate': 5836},80,4747,None
104758571,5880,60,{'estimate': 6135},80,6275,None
